"Phenophase_Description","Scientific_Names","pheno_spp_obs#"
"Fruits","Tilia americana",44
"Fruits","Vaccinium corymbosum",24
"Fruits","Viburnum nudum",32
"Increasing leaf size","Acer rubrum",17
"Increasing leaf size","Acer saccharum",38
"Increasing leaf size","Aesculus flava",35
"Increasing leaf size","Betula alleghaniensis",50
"Increasing leaf size","Betula nigra",48
"Increasing leaf size","Carya glabra",38
"Increasing leaf size","Carya ovata",31
"Increasing leaf size","Fagus grandifolia",25
"Increasing leaf size","Hamamelis virginiana",18
"Increasing leaf size","Populus deltoides",32
"Increasing leaf size","Quercus alba",21
"Increasing leaf size","Quercus rubra",15
"Increasing leaf size","Tilia americana",34
"Increasing leaf size","Vaccinium corymbosum",13
"Increasing leaf size","Viburnum nudum",26
"Leaves","Acer rubrum",27
"Leaves","Acer saccharum",60
"Leaves","Aesculus flava",42
"Leaves","Betula alleghaniensis",59
"Leaves","Betula nigra",72
"Leaves","Carya glabra",38
"Leaves","Carya ovata",31
"Leaves","Fagus grandifolia",20
"Leaves","Hamamelis virginiana",27
"Leaves","Populus deltoides",52
"Leaves","Quercus alba",29
"Leaves","Quercus rubra",26
"Leaves","Tilia americana",52
"Leaves","Vaccinium corymbosum",28
"Leaves","Viburnum nudum",29
"Open flowers","Acer rubrum",17
"Open flowers","Acer saccharum",9
"Open flowers","Aesculus flava",22
"Open flowers","Betula alleghaniensis",48
"Open flowers","Betula nigra",42
"Open flowers","Carya glabra",10
"Open flowers","Carya ovata",24
"Open flowers","Fagus grandifolia",12
"Open flowers","Hamamelis virginiana",13
"Open flowers","Populus deltoides",11
"Open flowers","Quercus alba",7
"Open flowers","Quercus rubra",8
"Open flowers","Tilia americana",18
"Open flowers","Vaccinium corymbosum",14
"Open flowers","Viburnum nudum",10
"Pollen release (flowers)","Acer rubrum",7
"Pollen release (flowers)","Acer saccharum",5
"Pollen release (flowers)","Betula alleghaniensis",14
"Pollen release (flowers)","Betula nigra",18
"Pollen release (flowers)","Carya glabra",2
"Pollen release (flowers)","Carya ovata",5
"Pollen release (flowers)","Populus deltoides",1
"Pollen release (flowers)","Quercus alba",1
"Pollen release (flowers)","Quercus rubra",3
"Pollen release (flowers)","Tilia americana",5
"Recent fruit or seed drop","Acer rubrum",3
"Recent fruit or seed drop","Acer saccharum",14
"Recent fruit or seed drop","Aesculus flava",25
"Recent fruit or seed drop","Betula alleghaniensis",31
"Recent fruit or seed drop","Betula nigra",22
"Recent fruit or seed drop","Carya glabra",28
"Recent fruit or seed drop","Carya ovata",37
"Recent fruit or seed drop","Fagus grandifolia",9
"Recent fruit or seed drop","Hamamelis virginiana",19
"Recent fruit or seed drop","Populus deltoides",15
"Recent fruit or seed drop","Quercus alba",14
"Recent fruit or seed drop","Quercus rubra",11
"Recent fruit or seed drop","Tilia americana",31
"Recent fruit or seed drop","Viburnum nudum",12
"Ripe fruits","Acer rubrum",2
"Ripe fruits","Acer saccharum",14
"Ripe fruits","Aesculus flava",21
"Ripe fruits","Betula alleghaniensis",65
"Ripe fruits","Betula nigra",18
"Ripe fruits","Carya glabra",21
"Ripe fruits","Carya ovata",32
"Ripe fruits","Fagus grandifolia",7
"Ripe fruits","Hamamelis virginiana",12
"Ripe fruits","Populus deltoides",12
"Ripe fruits","Quercus alba",6
"Ripe fruits","Quercus rubra",4
"Ripe fruits","Tilia americana",33
"Ripe fruits","Vaccinium corymbosum",7
"Ripe fruits","Viburnum nudum",20
