"Phenophase_Description","Individual_ID","pheno_indiv_obs#","Common_Name","Scientific_Names"
"Colored leaves",166763,7,"red maple","Acer rubrum"
"Colored leaves",166764,10,"red maple","Acer rubrum"
"Colored leaves",166765,10,"red maple","Acer rubrum"
"Colored leaves",166766,9,"red maple","Acer rubrum"
"Colored leaves",166767,8,"red maple","Acer rubrum"
"Colored leaves",166768,7,"highbush blueberry","Vaccinium corymbosum"
"Colored leaves",166769,5,"highbush blueberry","Vaccinium corymbosum"
"Colored leaves",166773,3,"highbush blueberry","Vaccinium corymbosum"
"Colored leaves",166774,6,"highbush blueberry","Vaccinium corymbosum"
"Colored leaves",166775,10,"highbush blueberry","Vaccinium corymbosum"
"Colored leaves",166776,10,"American witchhazel","Hamamelis virginiana"
"Colored leaves",166777,8,"American witchhazel","Hamamelis virginiana"
"Colored leaves",166778,10,"American witchhazel","Hamamelis virginiana"
"Colored leaves",166779,6,"American witchhazel","Hamamelis virginiana"
"Colored leaves",166780,5,"American witchhazel","Hamamelis virginiana"
"Colored leaves",169165,8,"possumhaw","Viburnum nudum"
"Colored leaves",169166,7,"possumhaw","Viburnum nudum"
"Colored leaves",169167,7,"possumhaw","Viburnum nudum"
"Colored leaves",169168,8,"possumhaw","Viburnum nudum"
"Colored leaves",169171,7,"possumhaw","Viburnum nudum"
"flowers",85751,10,"yellow buckeye","Aesculus flava"
"flowers",85755,7,"yellow buckeye","Aesculus flava"
"flowers",85756,8,"yellow buckeye","Aesculus flava"
"flowers",85757,29,"yellow buckeye","Aesculus flava"
"flowers",85758,15,"yellow buckeye","Aesculus flava"
"flowers",85759,82,"yellow birch","Betula alleghaniensis"
"flowers",85761,47,"yellow birch","Betula alleghaniensis"
"flowers",85762,61,"yellow birch","Betula alleghaniensis"
"flowers",85763,68,"yellow birch","Betula alleghaniensis"
"flowers",85764,61,"yellow birch","Betula alleghaniensis"
"flowers",86258,53,"river birch","Betula nigra"
"flowers",86259,69,"river birch","Betula nigra"
"flowers",86260,79,"river birch","Betula nigra"
"flowers",86261,49,"river birch","Betula nigra"
"flowers",86262,12,"pignut hickory","Carya glabra"
"flowers",86263,17,"pignut hickory","Carya glabra"
"flowers",86264,15,"pignut hickory","Carya glabra"
"flowers",86265,17,"pignut hickory","Carya glabra"
"flowers",86266,17,"pignut hickory","Carya glabra"
"flowers",86268,14,"shagbark hickory","Carya ovata"
"flowers",86269,12,"shagbark hickory","Carya ovata"
"flowers",86270,27,"shagbark hickory","Carya ovata"
"flowers",86271,18,"shagbark hickory","Carya ovata"
"flowers",86272,20,"shagbark hickory","Carya ovata"
"flowers",86273,5,"American beech","Fagus grandifolia"
"flowers",86274,14,"American beech","Fagus grandifolia"
"flowers",86275,6,"American beech","Fagus grandifolia"
"flowers",86276,12,"American beech","Fagus grandifolia"
"flowers",86277,3,"American beech","Fagus grandifolia"
"flowers",86278,31,"eastern cottonwood","Populus deltoides"
"flowers",86279,29,"eastern cottonwood","Populus deltoides"
"flowers",86280,31,"eastern cottonwood","Populus deltoides"
"flowers",86281,33,"eastern cottonwood","Populus deltoides"
"flowers",86282,23,"eastern cottonwood","Populus deltoides"
"flowers",86285,9,"northern red oak","Quercus rubra"
"flowers",86286,8,"northern red oak","Quercus rubra"
"flowers",86287,9,"northern red oak","Quercus rubra"
"flowers",86288,8,"northern red oak","Quercus rubra"
"flowers",86289,30,"American basswood","Tilia americana"
"flowers",86290,21,"American basswood","Tilia americana"
"flowers",87754,54,"river birch","Betula nigra"
"flowers",87756,12,"white oak","Quercus alba"
"flowers",87757,22,"American basswood","Tilia americana"
"flowers",87758,6,"white oak","Quercus alba"
"flowers",87759,6,"white oak","Quercus alba"
"flowers",87760,9,"northern red oak","Quercus rubra"
"flowers",87761,9,"white oak","Quercus alba"
"flowers",87762,15,"American basswood","Tilia americana"
"flowers",87763,15,"American basswood","Tilia americana"
"flowers",88311,8,"white oak","Quercus alba"
"flowers",92203,11,"sugar maple","Acer saccharum"
"flowers",92204,29,"sugar maple","Acer saccharum"
"flowers",92206,15,"sugar maple","Acer saccharum"
"flowers",92208,19,"sugar maple","Acer saccharum"
"flowers",92209,17,"sugar maple","Acer saccharum"
"flowers",135343,4,"American beech","Fagus grandifolia"
"flowers",135911,4,"American beech","Fagus grandifolia"
"flowers",166763,14,"red maple","Acer rubrum"
"flowers",166764,13,"red maple","Acer rubrum"
"flowers",166765,11,"red maple","Acer rubrum"
"flowers",166766,6,"red maple","Acer rubrum"
"flowers",166767,8,"red maple","Acer rubrum"
"flowers",166768,20,"highbush blueberry","Vaccinium corymbosum"
"flowers",166769,14,"highbush blueberry","Vaccinium corymbosum"
"flowers",166773,10,"highbush blueberry","Vaccinium corymbosum"
"flowers",166774,12,"highbush blueberry","Vaccinium corymbosum"
"flowers",166775,17,"highbush blueberry","Vaccinium corymbosum"
"flowers",166776,19,"American witchhazel","Hamamelis virginiana"
"flowers",166777,21,"American witchhazel","Hamamelis virginiana"
"flowers",166778,19,"American witchhazel","Hamamelis virginiana"
"flowers",166779,20,"American witchhazel","Hamamelis virginiana"
"flowers",166780,19,"American witchhazel","Hamamelis virginiana"
"flowers",169165,18,"possumhaw","Viburnum nudum"
"flowers",169166,18,"possumhaw","Viburnum nudum"
"flowers",169167,20,"possumhaw","Viburnum nudum"
"flowers",169168,21,"possumhaw","Viburnum nudum"
"flowers",169171,23,"possumhaw","Viburnum nudum"
"Fruits",85751,22,"yellow buckeye","Aesculus flava"
"Fruits",85755,15,"yellow buckeye","Aesculus flava"
"Fruits",85756,13,"yellow buckeye","Aesculus flava"
"Fruits",85757,29,"yellow buckeye","Aesculus flava"
"Fruits",85758,18,"yellow buckeye","Aesculus flava"
"Fruits",85759,86,"yellow birch","Betula alleghaniensis"
"Fruits",85761,54,"yellow birch","Betula alleghaniensis"
"Fruits",85762,64,"yellow birch","Betula alleghaniensis"
"Fruits",85763,70,"yellow birch","Betula alleghaniensis"
"Fruits",85764,77,"yellow birch","Betula alleghaniensis"
"Fruits",86258,34,"river birch","Betula nigra"
"Fruits",86259,40,"river birch","Betula nigra"
"Fruits",86260,43,"river birch","Betula nigra"
"Fruits",86261,43,"river birch","Betula nigra"
"Fruits",86262,16,"pignut hickory","Carya glabra"
"Fruits",86263,25,"pignut hickory","Carya glabra"
"Fruits",86264,17,"pignut hickory","Carya glabra"
"Fruits",86265,19,"pignut hickory","Carya glabra"
"Fruits",86266,20,"pignut hickory","Carya glabra"
"Fruits",86268,32,"shagbark hickory","Carya ovata"
"Fruits",86269,29,"shagbark hickory","Carya ovata"
"Fruits",86270,43,"shagbark hickory","Carya ovata"
"Fruits",86271,25,"shagbark hickory","Carya ovata"
"Fruits",86272,32,"shagbark hickory","Carya ovata"
"Fruits",86273,9,"American beech","Fagus grandifolia"
"Fruits",86274,28,"American beech","Fagus grandifolia"
"Fruits",86275,22,"American beech","Fagus grandifolia"
"Fruits",86276,17,"American beech","Fagus grandifolia"
"Fruits",86277,7,"American beech","Fagus grandifolia"
"Fruits",86278,25,"eastern cottonwood","Populus deltoides"
"Fruits",86279,23,"eastern cottonwood","Populus deltoides"
"Fruits",86280,25,"eastern cottonwood","Populus deltoides"
"Fruits",86281,28,"eastern cottonwood","Populus deltoides"
"Fruits",86282,4,"eastern cottonwood","Populus deltoides"
"Fruits",86285,19,"northern red oak","Quercus rubra"
"Fruits",86286,15,"northern red oak","Quercus rubra"
"Fruits",86287,11,"northern red oak","Quercus rubra"
"Fruits",86288,14,"northern red oak","Quercus rubra"
"Fruits",86289,30,"American basswood","Tilia americana"
"Fruits",86290,43,"American basswood","Tilia americana"
"Fruits",87754,33,"river birch","Betula nigra"
"Fruits",87756,20,"white oak","Quercus alba"
"Fruits",87757,32,"American basswood","Tilia americana"
"Fruits",87758,11,"white oak","Quercus alba"
"Fruits",87759,8,"white oak","Quercus alba"
"Fruits",87760,8,"northern red oak","Quercus rubra"
"Fruits",87761,13,"white oak","Quercus alba"
"Fruits",87762,44,"American basswood","Tilia americana"
"Fruits",87763,45,"American basswood","Tilia americana"
"Fruits",88311,7,"white oak","Quercus alba"
"Fruits",92203,4,"sugar maple","Acer saccharum"
"Fruits",92204,53,"sugar maple","Acer saccharum"
"Fruits",92206,15,"sugar maple","Acer saccharum"
"Fruits",92208,16,"sugar maple","Acer saccharum"
"Fruits",92209,7,"sugar maple","Acer saccharum"
"Fruits",135343,6,"American beech","Fagus grandifolia"
"Fruits",135911,15,"American beech","Fagus grandifolia"
"Fruits",166763,9,"red maple","Acer rubrum"
"Fruits",166764,2,"red maple","Acer rubrum"
"Fruits",166765,1,"red maple","Acer rubrum"
"Fruits",166766,4,"red maple","Acer rubrum"
"Fruits",166767,9,"red maple","Acer rubrum"
"Fruits",166768,7,"highbush blueberry","Vaccinium corymbosum"
"Fruits",166769,9,"highbush blueberry","Vaccinium corymbosum"
"Fruits",166773,8,"highbush blueberry","Vaccinium corymbosum"
"Fruits",166774,8,"highbush blueberry","Vaccinium corymbosum"
"Fruits",166775,12,"highbush blueberry","Vaccinium corymbosum"
"Fruits",166776,17,"American witchhazel","Hamamelis virginiana"
"Fruits",166777,16,"American witchhazel","Hamamelis virginiana"
"Fruits",166778,14,"American witchhazel","Hamamelis virginiana"
"Fruits",166779,15,"American witchhazel","Hamamelis virginiana"
"Fruits",166780,14,"American witchhazel","Hamamelis virginiana"
"Fruits",169165,12,"possumhaw","Viburnum nudum"
"Fruits",169166,11,"possumhaw","Viburnum nudum"
"Fruits",169167,12,"possumhaw","Viburnum nudum"
"Fruits",169168,13,"possumhaw","Viburnum nudum"
"Fruits",169171,6,"possumhaw","Viburnum nudum"
"Increasing leaf size",85751,16,"yellow buckeye","Aesculus flava"
"Increasing leaf size",85755,16,"yellow buckeye","Aesculus flava"
"Increasing leaf size",85756,18,"yellow buckeye","Aesculus flava"
"Increasing leaf size",85757,36,"yellow buckeye","Aesculus flava"
"Increasing leaf size",85758,26,"yellow buckeye","Aesculus flava"
"Increasing leaf size",85759,44,"yellow birch","Betula alleghaniensis"
"Increasing leaf size",85761,27,"yellow birch","Betula alleghaniensis"
"Increasing leaf size",85762,42,"yellow birch","Betula alleghaniensis"
"Increasing leaf size",85763,30,"yellow birch","Betula alleghaniensis"
"Increasing leaf size",85764,46,"yellow birch","Betula alleghaniensis"
"Increasing leaf size",86258,28,"river birch","Betula nigra"
"Increasing leaf size",86259,50,"river birch","Betula nigra"
"Increasing leaf size",86260,42,"river birch","Betula nigra"
"Increasing leaf size",86261,30,"river birch","Betula nigra"
"Increasing leaf size",86262,25,"pignut hickory","Carya glabra"
"Increasing leaf size",86263,37,"pignut hickory","Carya glabra"
"Increasing leaf size",86264,27,"pignut hickory","Carya glabra"
"Increasing leaf size",86265,33,"pignut hickory","Carya glabra"
"Increasing leaf size",86266,36,"pignut hickory","Carya glabra"
"Increasing leaf size",86268,33,"shagbark hickory","Carya ovata"
"Increasing leaf size",86269,36,"shagbark hickory","Carya ovata"
"Increasing leaf size",86270,35,"shagbark hickory","Carya ovata"
"Increasing leaf size",86271,34,"shagbark hickory","Carya ovata"
"Increasing leaf size",86272,37,"shagbark hickory","Carya ovata"
"Increasing leaf size",86273,6,"American beech","Fagus grandifolia"
"Increasing leaf size",86274,23,"American beech","Fagus grandifolia"
"Increasing leaf size",86275,18,"American beech","Fagus grandifolia"
"Increasing leaf size",86276,24,"American beech","Fagus grandifolia"
"Increasing leaf size",86277,4,"American beech","Fagus grandifolia"
"Increasing leaf size",86278,40,"eastern cottonwood","Populus deltoides"
"Increasing leaf size",86279,37,"eastern cottonwood","Populus deltoides"
"Increasing leaf size",86280,37,"eastern cottonwood","Populus deltoides"
"Increasing leaf size",86281,36,"eastern cottonwood","Populus deltoides"
"Increasing leaf size",86282,38,"eastern cottonwood","Populus deltoides"
"Increasing leaf size",86285,9,"northern red oak","Quercus rubra"
"Increasing leaf size",86286,9,"northern red oak","Quercus rubra"
"Increasing leaf size",86287,5,"northern red oak","Quercus rubra"
"Increasing leaf size",86288,6,"northern red oak","Quercus rubra"
"Increasing leaf size",86289,38,"American basswood","Tilia americana"
"Increasing leaf size",86290,18,"American basswood","Tilia americana"
"Increasing leaf size",87754,28,"river birch","Betula nigra"
"Increasing leaf size",87756,30,"white oak","Quercus alba"
"Increasing leaf size",87757,35,"American basswood","Tilia americana"
"Increasing leaf size",87758,16,"white oak","Quercus alba"
"Increasing leaf size",87759,7,"white oak","Quercus alba"
"Increasing leaf size",87760,5,"northern red oak","Quercus rubra"
"Increasing leaf size",87761,17,"white oak","Quercus alba"
"Increasing leaf size",87762,16,"American basswood","Tilia americana"
"Increasing leaf size",87763,23,"American basswood","Tilia americana"
"Increasing leaf size",88311,9,"white oak","Quercus alba"
"Increasing leaf size",92203,31,"sugar maple","Acer saccharum"
"Increasing leaf size",92204,40,"sugar maple","Acer saccharum"
"Increasing leaf size",92206,21,"sugar maple","Acer saccharum"
"Increasing leaf size",92208,27,"sugar maple","Acer saccharum"
"Increasing leaf size",92209,40,"sugar maple","Acer saccharum"
"Increasing leaf size",135343,5,"American beech","Fagus grandifolia"
"Increasing leaf size",135911,11,"American beech","Fagus grandifolia"
"Increasing leaf size",166763,13,"red maple","Acer rubrum"
"Increasing leaf size",166764,11,"red maple","Acer rubrum"
"Increasing leaf size",166765,10,"red maple","Acer rubrum"
"Increasing leaf size",166766,11,"red maple","Acer rubrum"
"Increasing leaf size",166767,11,"red maple","Acer rubrum"
"Increasing leaf size",166768,17,"highbush blueberry","Vaccinium corymbosum"
"Increasing leaf size",166769,19,"highbush blueberry","Vaccinium corymbosum"
"Increasing leaf size",166773,5,"highbush blueberry","Vaccinium corymbosum"
"Increasing leaf size",166774,8,"highbush blueberry","Vaccinium corymbosum"
"Increasing leaf size",166775,18,"highbush blueberry","Vaccinium corymbosum"
"Increasing leaf size",166776,18,"American witchhazel","Hamamelis virginiana"
"Increasing leaf size",166777,20,"American witchhazel","Hamamelis virginiana"
"Increasing leaf size",166778,18,"American witchhazel","Hamamelis virginiana"
"Increasing leaf size",166779,21,"American witchhazel","Hamamelis virginiana"
"Increasing leaf size",166780,20,"American witchhazel","Hamamelis virginiana"
"Increasing leaf size",169165,17,"possumhaw","Viburnum nudum"
"Increasing leaf size",169166,16,"possumhaw","Viburnum nudum"
"Increasing leaf size",169167,16,"possumhaw","Viburnum nudum"
"Increasing leaf size",169168,14,"possumhaw","Viburnum nudum"
"Increasing leaf size",169171,17,"possumhaw","Viburnum nudum"
"leaf drop",85751,15,"yellow buckeye","Aesculus flava"
"leaf drop",85755,16,"yellow buckeye","Aesculus flava"
"leaf drop",85756,17,"yellow buckeye","Aesculus flava"
"leaf drop",85757,18,"yellow buckeye","Aesculus flava"
"leaf drop",85758,27,"yellow buckeye","Aesculus flava"
"leaf drop",85759,43,"yellow birch","Betula alleghaniensis"
"leaf drop",85761,25,"yellow birch","Betula alleghaniensis"
"leaf drop",85762,32,"yellow birch","Betula alleghaniensis"
"leaf drop",85763,26,"yellow birch","Betula alleghaniensis"
"leaf drop",85764,48,"yellow birch","Betula alleghaniensis"
"leaf drop",86258,35,"river birch","Betula nigra"
"leaf drop",86259,65,"river birch","Betula nigra"
"leaf drop",86260,58,"river birch","Betula nigra"
"leaf drop",86261,39,"river birch","Betula nigra"
"leaf drop",86262,15,"pignut hickory","Carya glabra"
"leaf drop",86263,18,"pignut hickory","Carya glabra"
"leaf drop",86264,16,"pignut hickory","Carya glabra"
"leaf drop",86265,21,"pignut hickory","Carya glabra"
"leaf drop",86266,23,"pignut hickory","Carya glabra"
"leaf drop",86268,21,"shagbark hickory","Carya ovata"
"leaf drop",86269,22,"shagbark hickory","Carya ovata"
"leaf drop",86270,21,"shagbark hickory","Carya ovata"
"leaf drop",86271,21,"shagbark hickory","Carya ovata"
"leaf drop",86272,25,"shagbark hickory","Carya ovata"
"leaf drop",86273,2,"American beech","Fagus grandifolia"
"leaf drop",86274,8,"American beech","Fagus grandifolia"
"leaf drop",86275,12,"American beech","Fagus grandifolia"
"leaf drop",86276,8,"American beech","Fagus grandifolia"
"leaf drop",86278,23,"eastern cottonwood","Populus deltoides"
"leaf drop",86279,18,"eastern cottonwood","Populus deltoides"
"leaf drop",86280,18,"eastern cottonwood","Populus deltoides"
"leaf drop",86281,21,"eastern cottonwood","Populus deltoides"
"leaf drop",86282,20,"eastern cottonwood","Populus deltoides"
"leaf drop",86285,8,"northern red oak","Quercus rubra"
"leaf drop",86286,11,"northern red oak","Quercus rubra"
"leaf drop",86287,6,"northern red oak","Quercus rubra"
"leaf drop",86288,10,"northern red oak","Quercus rubra"
"leaf drop",86289,16,"American basswood","Tilia americana"
"leaf drop",86290,23,"American basswood","Tilia americana"
"leaf drop",87754,40,"river birch","Betula nigra"
"leaf drop",87756,26,"white oak","Quercus alba"
"leaf drop",87757,21,"American basswood","Tilia americana"
"leaf drop",87758,9,"white oak","Quercus alba"
"leaf drop",87759,8,"white oak","Quercus alba"
"leaf drop",87760,7,"northern red oak","Quercus rubra"
"leaf drop",87761,9,"white oak","Quercus alba"
"leaf drop",87762,26,"American basswood","Tilia americana"
"leaf drop",87763,23,"American basswood","Tilia americana"
"leaf drop",88311,7,"white oak","Quercus alba"
"leaf drop",92203,18,"sugar maple","Acer saccharum"
"leaf drop",92204,23,"sugar maple","Acer saccharum"
"leaf drop",92206,13,"sugar maple","Acer saccharum"
"leaf drop",92208,19,"sugar maple","Acer saccharum"
"leaf drop",92209,18,"sugar maple","Acer saccharum"
"leaf drop",135343,3,"American beech","Fagus grandifolia"
"leaf drop",135911,5,"American beech","Fagus grandifolia"
"leaf drop",166763,11,"red maple","Acer rubrum"
"leaf drop",166764,12,"red maple","Acer rubrum"
"leaf drop",166765,11,"red maple","Acer rubrum"
"leaf drop",166766,10,"red maple","Acer rubrum"
"leaf drop",166767,11,"red maple","Acer rubrum"
"leaf drop",166768,6,"highbush blueberry","Vaccinium corymbosum"
"leaf drop",166769,6,"highbush blueberry","Vaccinium corymbosum"
"leaf drop",166773,4,"highbush blueberry","Vaccinium corymbosum"
"leaf drop",166774,3,"highbush blueberry","Vaccinium corymbosum"
"leaf drop",166775,9,"highbush blueberry","Vaccinium corymbosum"
"leaf drop",166776,9,"American witchhazel","Hamamelis virginiana"
"leaf drop",166777,9,"American witchhazel","Hamamelis virginiana"
"leaf drop",166778,7,"American witchhazel","Hamamelis virginiana"
"leaf drop",166779,7,"American witchhazel","Hamamelis virginiana"
"leaf drop",166780,8,"American witchhazel","Hamamelis virginiana"
"leaf drop",169165,7,"possumhaw","Viburnum nudum"
"leaf drop",169166,11,"possumhaw","Viburnum nudum"
"leaf drop",169167,8,"possumhaw","Viburnum nudum"
"leaf drop",169168,9,"possumhaw","Viburnum nudum"
"leaf drop",169171,8,"possumhaw","Viburnum nudum"
"leafout",85751,14,"yellow buckeye","Aesculus flava"
"leafout",85755,10,"yellow buckeye","Aesculus flava"
"leafout",85756,12,"yellow buckeye","Aesculus flava"
"leafout",85757,21,"yellow buckeye","Aesculus flava"
"leafout",85758,13,"yellow buckeye","Aesculus flava"
"leafout",85759,20,"yellow birch","Betula alleghaniensis"
"leafout",85761,17,"yellow birch","Betula alleghaniensis"
"leafout",85762,19,"yellow birch","Betula alleghaniensis"
"leafout",85763,20,"yellow birch","Betula alleghaniensis"
"leafout",85764,15,"yellow birch","Betula alleghaniensis"
"leafout",86258,25,"river birch","Betula nigra"
"leafout",86259,24,"river birch","Betula nigra"
"leafout",86260,21,"river birch","Betula nigra"
"leafout",86261,22,"river birch","Betula nigra"
"leafout",86262,11,"pignut hickory","Carya glabra"
"leafout",86263,10,"pignut hickory","Carya glabra"
"leafout",86264,16,"pignut hickory","Carya glabra"
"leafout",86265,10,"pignut hickory","Carya glabra"
"leafout",86266,10,"pignut hickory","Carya glabra"
"leafout",86268,9,"shagbark hickory","Carya ovata"
"leafout",86269,9,"shagbark hickory","Carya ovata"
"leafout",86270,11,"shagbark hickory","Carya ovata"
"leafout",86271,10,"shagbark hickory","Carya ovata"
"leafout",86272,12,"shagbark hickory","Carya ovata"
"leafout",86273,4,"American beech","Fagus grandifolia"
"leafout",86274,9,"American beech","Fagus grandifolia"
"leafout",86275,5,"American beech","Fagus grandifolia"
"leafout",86276,11,"American beech","Fagus grandifolia"
"leafout",86277,2,"American beech","Fagus grandifolia"
