"Genus","Species","Scientific_Names","Common_Name","Individual_ID","Phenophase_Description","ObservedBy_Person_ID","Plant_Nickname","Plant_ID","Species_Nickname","Latitude","Longitude","DBH(cm)","Route_Name","indiv_obs#","spp_obs#","pheno_obs#","pheno_spp_obs#","pheno_indiv_obs#"
"Aesculus","flava","Aesculus flava","yellow buckeye",85756,"leafout","'19414,25865,25902,26428'","12651*H, Tree 5","12651*H","Tree 5",42.3035604,-71.12143904,49.1,"Linden North Woods Route",121,829,1004,70,12
"Aesculus","flava","Aesculus flava","yellow buckeye",85756,"Colored leaves","'19414'","12651*H, Tree 5","12651*H","Tree 5",42.3035604,-71.12143904,49.1,"Linden North Woods Route",121,829,1192,98,13
"Aesculus","flava","Aesculus flava","yellow buckeye",85756,"Colored leaves","'26428'","12651*H, Tree 5","12651*H","Tree 5",42.3035604,-71.12143904,49.1,"Linden North Woods Route",121,829,1192,98,13
"Aesculus","flava","Aesculus flava","yellow buckeye",85756,"Colored leaves","'26428,19414'","12651*H, Tree 5","12651*H","Tree 5",42.3035604,-71.12143904,49.1,"Linden North Woods Route",121,829,1192,98,13
"Aesculus","flava","Aesculus flava","yellow buckeye",85756,"Recent fruit or seed drop","'26428'","12651*H, Tree 5","12651*H","Tree 5",42.3035604,-71.12143904,49.1,"Linden North Woods Route",121,829,1176,76,10
"Aesculus","flava","Aesculus flava","yellow buckeye",85756,"Recent fruit or seed drop","'26428,19414'","12651*H, Tree 5","12651*H","Tree 5",42.3035604,-71.12143904,49.1,"Linden North Woods Route",121,829,1176,76,10
"Aesculus","flava","Aesculus flava","yellow buckeye",85756,"Fruits","'26428,19414'","12651*H, Tree 5","12651*H","Tree 5",42.3035604,-71.12143904,49.1,"Linden North Woods Route",121,829,1722,97,13
"Aesculus","flava","Aesculus flava","yellow buckeye",85757,"Ripe fruits","'19414,26122'","12651*I, Tree 9","12651*I","Tree 9",42.2931417,-71.12879258,59.2,"Peters Hill Route",250,829,1208,70,23
"Aesculus","flava","Aesculus flava","yellow buckeye",85757,"Increasing leaf size","'19414'","12651*I, Tree 9","12651*I","Tree 9",42.2931417,-71.12879258,59.2,"Peters Hill Route",250,829,1793,112,36
"Aesculus","flava","Aesculus flava","yellow buckeye",85757,"Increasing leaf size","'26122'","12651*I, Tree 9","12651*I","Tree 9",42.2931417,-71.12879258,59.2,"Peters Hill Route",250,829,1793,112,36
"Aesculus","flava","Aesculus flava","yellow buckeye",85757,"Increasing leaf size","'26122'","12651*I, Tree 9","12651*I","Tree 9",42.2931417,-71.12879258,59.2,"Peters Hill Route",250,829,1793,112,36
"Aesculus","flava","Aesculus flava","yellow buckeye",85757,"leaf drop","'25733,19414,26232,26122,26321'","12651*I, Tree 9","12651*I","Tree 9",42.2931417,-71.12879258,59.2,"Peters Hill Route",250,829,1312,93,18
"Aesculus","flava","Aesculus flava","yellow buckeye",85757,"leafout","'19414,25865,25739,25733,26232,26122,26321'","12651*I, Tree 9","12651*I","Tree 9",42.2931417,-71.12879258,59.2,"Peters Hill Route",250,829,1004,70,21
"Aesculus","flava","Aesculus flava","yellow buckeye",85757,"Colored leaves","'25733,19414,26232,26122,26321'","12651*I, Tree 9","12651*I","Tree 9",42.2931417,-71.12879258,59.2,"Peters Hill Route",250,829,1192,98,25
"Aesculus","flava","Aesculus flava","yellow buckeye",85757,"Recent fruit or seed drop","'26122'","12651*I, Tree 9","12651*I","Tree 9",42.2931417,-71.12879258,59.2,"Peters Hill Route",250,829,1176,76,26
"Aesculus","flava","Aesculus flava","yellow buckeye",85757,"Recent fruit or seed drop","'19414,26122'","12651*I, Tree 9","12651*I","Tree 9",42.2931417,-71.12879258,59.2,"Peters Hill Route",250,829,1176,76,26
"Aesculus","flava","Aesculus flava","yellow buckeye",85757,"Fruits","'19414'","12651*I, Tree 9","12651*I","Tree 9",42.2931417,-71.12879258,59.2,"Peters Hill Route",250,829,1722,97,29
"Aesculus","flava","Aesculus flava","yellow buckeye",85757,"Fruits","'26122'","12651*I, Tree 9","12651*I","Tree 9",42.2931417,-71.12879258,59.2,"Peters Hill Route",250,829,1722,97,29
"Aesculus","flava","Aesculus flava","yellow buckeye",85757,"Fruits","'26122'","12651*I, Tree 9","12651*I","Tree 9",42.2931417,-71.12879258,59.2,"Peters Hill Route",250,829,1722,97,29
"Aesculus","flava","Aesculus flava","yellow buckeye",85758,"Ripe fruits","'26428,25865,19414'","925-79*B, Tree 4","925-79*B","Tree 4",42.30391297,-71.12232333,44.5,"Linden North Woods Route",192,829,1208,70,17
"Aesculus","flava","Aesculus flava","yellow buckeye",85758,"leaf drop","'25865,26428,19414'","925-79*B, Tree 4","925-79*B","Tree 4",42.30391297,-71.12232333,44.5,"Linden North Woods Route",192,829,1312,93,27
"Aesculus","flava","Aesculus flava","yellow buckeye",85758,"leafout","'19414,25865,25902,26416,26428'","925-79*B, Tree 4","925-79*B","Tree 4",42.30391297,-71.12232333,44.5,"Linden North Woods Route",192,829,1004,70,13
"Aesculus","flava","Aesculus flava","yellow buckeye",85758,"Colored leaves","'19414,26416,26428,25865'","925-79*B, Tree 4","925-79*B","Tree 4",42.30391297,-71.12232333,44.5,"Linden North Woods Route",192,829,1192,98,25
"Aesculus","flava","Aesculus flava","yellow buckeye",85758,"Colored leaves","'25865'","925-79*B, Tree 4","925-79*B","Tree 4",42.30391297,-71.12232333,44.5,"Linden North Woods Route",192,829,1192,98,25
"Aesculus","flava","Aesculus flava","yellow buckeye",85758,"Recent fruit or seed drop","'26428,25865,19414'","925-79*B, Tree 4","925-79*B","Tree 4",42.30391297,-71.12232333,44.5,"Linden North Woods Route",192,829,1176,76,20
"Aesculus","flava","Aesculus flava","yellow buckeye",85758,"Fruits","'19414,25865,25902,26416,26428'","925-79*B, Tree 4","925-79*B","Tree 4",42.30391297,-71.12232333,44.5,"Linden North Woods Route",192,829,1722,97,18
"Betula","alleghaniensis","Betula alleghaniensis","yellow birch",85759,"budburst","'25505,19414,25556'","12843*A, Tree 6","12843*A","Tree 6",42.3020682,-71.12386246,73.8,"Birch Route",520,2181,1600,207,52
"Betula","alleghaniensis","Betula alleghaniensis","yellow birch",85759,"budburst","'25556'","12843*A, Tree 6","12843*A","Tree 6",42.3020682,-71.12386246,73.8,"Birch Route",520,2181,1600,207,52
"Betula","alleghaniensis","Betula alleghaniensis","yellow birch",85759,"budburst","'25556'","12843*A, Tree 6","12843*A","Tree 6",42.3020682,-71.12386246,73.8,"Birch Route",520,2181,1600,207,52
"Betula","alleghaniensis","Betula alleghaniensis","yellow birch",85759,"budburst","'19414,25556'","12843*A, Tree 6","12843*A","Tree 6",42.3020682,-71.12386246,73.8,"Birch Route",520,2181,1600,207,52
"Betula","alleghaniensis","Betula alleghaniensis","yellow birch",85759,"budburst","'19414'","12843*A, Tree 6","12843*A","Tree 6",42.3020682,-71.12386246,73.8,"Birch Route",520,2181,1600,207,52
"Betula","alleghaniensis","Betula alleghaniensis","yellow birch",85759,"budburst","'25556'","12843*A, Tree 6","12843*A","Tree 6",42.3020682,-71.12386246,73.8,"Birch Route",520,2181,1600,207,52
"Betula","alleghaniensis","Betula alleghaniensis","yellow birch",85759,"budburst","'25556'","12843*A, Tree 6","12843*A","Tree 6",42.3020682,-71.12386246,73.8,"Birch Route",520,2181,1600,207,52
"Betula","alleghaniensis","Betula alleghaniensis","yellow birch",85759,"budburst","'25556'","12843*A, Tree 6","12843*A","Tree 6",42.3020682,-71.12386246,73.8,"Birch Route",520,2181,1600,207,52
"Betula","alleghaniensis","Betula alleghaniensis","yellow birch",85759,"budburst","'25556'","12843*A, Tree 6","12843*A","Tree 6",42.3020682,-71.12386246,73.8,"Birch Route",520,2181,1600,207,52
"Betula","alleghaniensis","Betula alleghaniensis","yellow birch",85759,"Ripe fruits","'25556'","12843*A, Tree 6","12843*A","Tree 6",42.3020682,-71.12386246,73.8,"Birch Route",520,2181,1208,249,50
"Betula","alleghaniensis","Betula alleghaniensis","yellow birch",85759,"Ripe fruits","'25556,25505,26423,19414'","12843*A, Tree 6","12843*A","Tree 6",42.3020682,-71.12386246,73.8,"Birch Route",520,2181,1208,249,50
"Betula","alleghaniensis","Betula alleghaniensis","yellow birch",85759,"Ripe fruits","'25556'","12843*A, Tree 6","12843*A","Tree 6",42.3020682,-71.12386246,73.8,"Birch Route",520,2181,1208,249,50
"Betula","alleghaniensis","Betula alleghaniensis","yellow birch",85759,"Ripe fruits","'25556'","12843*A, Tree 6","12843*A","Tree 6",42.3020682,-71.12386246,73.8,"Birch Route",520,2181,1208,249,50
"Betula","alleghaniensis","Betula alleghaniensis","yellow birch",85759,"Ripe fruits","'25556'","12843*A, Tree 6","12843*A","Tree 6",42.3020682,-71.12386246,73.8,"Birch Route",520,2181,1208,249,50
"Betula","alleghaniensis","Betula alleghaniensis","yellow birch",85759,"Ripe fruits","'25556'","12843*A, Tree 6","12843*A","Tree 6",42.3020682,-71.12386246,73.8,"Birch Route",520,2181,1208,249,50
"Betula","alleghaniensis","Betula alleghaniensis","yellow birch",85759,"Ripe fruits","'25556'","12843*A, Tree 6","12843*A","Tree 6",42.3020682,-71.12386246,73.8,"Birch Route",520,2181,1208,249,50
"Betula","alleghaniensis","Betula alleghaniensis","yellow birch",85759,"Increasing leaf size","'25505'","12843*A, Tree 6","12843*A","Tree 6",42.3020682,-71.12386246,73.8,"Birch Route",520,2181,1793,189,44
"Betula","alleghaniensis","Betula alleghaniensis","yellow birch",85759,"Increasing leaf size","'26033'","12843*A, Tree 6","12843*A","Tree 6",42.3020682,-71.12386246,73.8,"Birch Route",520,2181,1793,189,44
"Betula","alleghaniensis","Betula alleghaniensis","yellow birch",85759,"leaf drop","'25556'","12843*A, Tree 6","12843*A","Tree 6",42.3020682,-71.12386246,73.8,"Birch Route",520,2181,1312,174,43
"Betula","alleghaniensis","Betula alleghaniensis","yellow birch",85759,"leaf drop","'25556'","12843*A, Tree 6","12843*A","Tree 6",42.3020682,-71.12386246,73.8,"Birch Route",520,2181,1312,174,43
"Betula","alleghaniensis","Betula alleghaniensis","yellow birch",85759,"leaf drop","'25556'","12843*A, Tree 6","12843*A","Tree 6",42.3020682,-71.12386246,73.8,"Birch Route",520,2181,1312,174,43
"Betula","alleghaniensis","Betula alleghaniensis","yellow birch",85759,"leaf drop","'25556'","12843*A, Tree 6","12843*A","Tree 6",42.3020682,-71.12386246,73.8,"Birch Route",520,2181,1312,174,43
"Betula","alleghaniensis","Betula alleghaniensis","yellow birch",85759,"leaf drop","'25556'","12843*A, Tree 6","12843*A","Tree 6",42.3020682,-71.12386246,73.8,"Birch Route",520,2181,1312,174,43
"Betula","alleghaniensis","Betula alleghaniensis","yellow birch",85759,"leaf drop","'25505,25556'","12843*A, Tree 6","12843*A","Tree 6",42.3020682,-71.12386246,73.8,"Birch Route",520,2181,1312,174,43
"Betula","alleghaniensis","Betula alleghaniensis","yellow birch",85759,"leaf drop","'25556'","12843*A, Tree 6","12843*A","Tree 6",42.3020682,-71.12386246,73.8,"Birch Route",520,2181,1312,174,43
"Betula","alleghaniensis","Betula alleghaniensis","yellow birch",85759,"leaf drop","'25556'","12843*A, Tree 6","12843*A","Tree 6",42.3020682,-71.12386246,73.8,"Birch Route",520,2181,1312,174,43
"Betula","alleghaniensis","Betula alleghaniensis","yellow birch",85759,"leaf drop","'25505,25556'","12843*A, Tree 6","12843*A","Tree 6",42.3020682,-71.12386246,73.8,"Birch Route",520,2181,1312,174,43
"Betula","alleghaniensis","Betula alleghaniensis","yellow birch",85759,"leafout","'25505,19414,25556,26033,26036,26423'","12843*A, Tree 6","12843*A","Tree 6",42.3020682,-71.12386246,73.8,"Birch Route",520,2181,1004,91,20
"Betula","alleghaniensis","Betula alleghaniensis","yellow birch",85759,"Colored leaves","'25556'","12843*A, Tree 6","12843*A","Tree 6",42.3020682,-71.12386246,73.8,"Birch Route",520,2181,1192,144,30
"Betula","alleghaniensis","Betula alleghaniensis","yellow birch",85759,"Colored leaves","'25556'","12843*A, Tree 6","12843*A","Tree 6",42.3020682,-71.12386246,73.8,"Birch Route",520,2181,1192,144,30
"Betula","alleghaniensis","Betula alleghaniensis","yellow birch",85759,"Colored leaves","'25505,25556'","12843*A, Tree 6","12843*A","Tree 6",42.3020682,-71.12386246,73.8,"Birch Route",520,2181,1192,144,30
"Betula","alleghaniensis","Betula alleghaniensis","yellow birch",85759,"Colored leaves","'25556'","12843*A, Tree 6","12843*A","Tree 6",42.3020682,-71.12386246,73.8,"Birch Route",520,2181,1192,144,30
"Betula","alleghaniensis","Betula alleghaniensis","yellow birch",85759,"Colored leaves","'25556'","12843*A, Tree 6","12843*A","Tree 6",42.3020682,-71.12386246,73.8,"Birch Route",520,2181,1192,144,30
"Betula","alleghaniensis","Betula alleghaniensis","yellow birch",85759,"Colored leaves","'25505,25556'","12843*A, Tree 6","12843*A","Tree 6",42.3020682,-71.12386246,73.8,"Birch Route",520,2181,1192,144,30
"Betula","alleghaniensis","Betula alleghaniensis","yellow birch",85759,"flowers","'25505'","12843*A, Tree 6","12843*A","Tree 6",42.3020682,-71.12386246,73.8,"Birch Route",520,2181,1657,319,82
"Betula","alleghaniensis","Betula alleghaniensis","yellow birch",85759,"flowers","'25556,25505'","12843*A, Tree 6","12843*A","Tree 6",42.3020682,-71.12386246,73.8,"Birch Route",520,2181,1657,319,82
"Betula","alleghaniensis","Betula alleghaniensis","yellow birch",85759,"flowers","'25556,25505,19414,26033,26036'","12843*A, Tree 6","12843*A","Tree 6",42.3020682,-71.12386246,73.8,"Birch Route",520,2181,1657,319,82
"Betula","alleghaniensis","Betula alleghaniensis","yellow birch",85759,"flowers","'25505,25556'","12843*A, Tree 6","12843*A","Tree 6",42.3020682,-71.12386246,73.8,"Birch Route",520,2181,1657,319,82
"Betula","alleghaniensis","Betula alleghaniensis","yellow birch",85759,"flowers","'19414,25556'","12843*A, Tree 6","12843*A","Tree 6",42.3020682,-71.12386246,73.8,"Birch Route",520,2181,1657,319,82
"Betula","alleghaniensis","Betula alleghaniensis","yellow birch",85759,"flowers","'25556'","12843*A, Tree 6","12843*A","Tree 6",42.3020682,-71.12386246,73.8,"Birch Route",520,2181,1657,319,82
"Betula","alleghaniensis","Betula alleghaniensis","yellow birch",85759,"flowers","'25556'","12843*A, Tree 6","12843*A","Tree 6",42.3020682,-71.12386246,73.8,"Birch Route",520,2181,1657,319,82
"Betula","alleghaniensis","Betula alleghaniensis","yellow birch",85759,"flowers","'25556'","12843*A, Tree 6","12843*A","Tree 6",42.3020682,-71.12386246,73.8,"Birch Route",520,2181,1657,319,82
"Betula","alleghaniensis","Betula alleghaniensis","yellow birch",85759,"flowers","'25556'","12843*A, Tree 6","12843*A","Tree 6",42.3020682,-71.12386246,73.8,"Birch Route",520,2181,1657,319,82
"Betula","alleghaniensis","Betula alleghaniensis","yellow birch",85759,"flowers","'25556'","12843*A, Tree 6","12843*A","Tree 6",42.3020682,-71.12386246,73.8,"Birch Route",520,2181,1657,319,82
"Betula","alleghaniensis","Betula alleghaniensis","yellow birch",85759,"flowers","'25556'","12843*A, Tree 6","12843*A","Tree 6",42.3020682,-71.12386246,73.8,"Birch Route",520,2181,1657,319,82
"Betula","alleghaniensis","Betula alleghaniensis","yellow birch",85759,"flowers","'25556'","12843*A, Tree 6","12843*A","Tree 6",42.3020682,-71.12386246,73.8,"Birch Route",520,2181,1657,319,82
"Betula","alleghaniensis","Betula alleghaniensis","yellow birch",85759,"flowers","'25556'","12843*A, Tree 6","12843*A","Tree 6",42.3020682,-71.12386246,73.8,"Birch Route",520,2181,1657,319,82
"Betula","alleghaniensis","Betula alleghaniensis","yellow birch",85759,"flowers","'25556'","12843*A, Tree 6","12843*A","Tree 6",42.3020682,-71.12386246,73.8,"Birch Route",520,2181,1657,319,82
"Betula","alleghaniensis","Betula alleghaniensis","yellow birch",85759,"flowers","'25556'","12843*A, Tree 6","12843*A","Tree 6",42.3020682,-71.12386246,73.8,"Birch Route",520,2181,1657,319,82
"Betula","alleghaniensis","Betula alleghaniensis","yellow birch",85759,"flowers","'25556'","12843*A, Tree 6","12843*A","Tree 6",42.3020682,-71.12386246,73.8,"Birch Route",520,2181,1657,319,82
"Betula","alleghaniensis","Betula alleghaniensis","yellow birch",85759,"Open flowers","'25505'","12843*A, Tree 6","12843*A","Tree 6",42.3020682,-71.12386246,73.8,"Birch Route",520,2181,1025,170,41
"Betula","alleghaniensis","Betula alleghaniensis","yellow birch",85759,"Open flowers","'25556'","12843*A, Tree 6","12843*A","Tree 6",42.3020682,-71.12386246,73.8,"Birch Route",520,2181,1025,170,41
"Betula","alleghaniensis","Betula alleghaniensis","yellow birch",85759,"Open flowers","'25556'","12843*A, Tree 6","12843*A","Tree 6",42.3020682,-71.12386246,73.8,"Birch Route",520,2181,1025,170,41
"Betula","alleghaniensis","Betula alleghaniensis","yellow birch",85759,"Open flowers","'26036'","12843*A, Tree 6","12843*A","Tree 6",42.3020682,-71.12386246,73.8,"Birch Route",520,2181,1025,170,41
"Betula","alleghaniensis","Betula alleghaniensis","yellow birch",85759,"Pollen release (flowers)","'25556'","12843*A, Tree 6","12843*A","Tree 6",42.3020682,-71.12386246,73.8,"Birch Route",520,2181,559,113,25
"Betula","alleghaniensis","Betula alleghaniensis","yellow birch",85759,"Pollen release (flowers)","'25556'","12843*A, Tree 6","12843*A","Tree 6",42.3020682,-71.12386246,73.8,"Birch Route",520,2181,559,113,25
"Betula","alleghaniensis","Betula alleghaniensis","yellow birch",85759,"Pollen release (flowers)","'26036'","12843*A, Tree 6","12843*A","Tree 6",42.3020682,-71.12386246,73.8,"Birch Route",520,2181,559,113,25
"Betula","alleghaniensis","Betula alleghaniensis","yellow birch",85759,"Recent fruit or seed drop","'25556,19414,25505'","12843*A, Tree 6","12843*A","Tree 6",42.3020682,-71.12386246,73.8,"Birch Route",520,2181,1176,174,47
"Betula","alleghaniensis","Betula alleghaniensis","yellow birch",85759,"Recent fruit or seed drop","'25556'","12843*A, Tree 6","12843*A","Tree 6",42.3020682,-71.12386246,73.8,"Birch Route",520,2181,1176,174,47
"Betula","alleghaniensis","Betula alleghaniensis","yellow birch",85759,"Recent fruit or seed drop","'25556'","12843*A, Tree 6","12843*A","Tree 6",42.3020682,-71.12386246,73.8,"Birch Route",520,2181,1176,174,47
"Betula","alleghaniensis","Betula alleghaniensis","yellow birch",85759,"Recent fruit or seed drop","'25556'","12843*A, Tree 6","12843*A","Tree 6",42.3020682,-71.12386246,73.8,"Birch Route",520,2181,1176,174,47
"Betula","alleghaniensis","Betula alleghaniensis","yellow birch",85759,"Recent fruit or seed drop","'25556'","12843*A, Tree 6","12843*A","Tree 6",42.3020682,-71.12386246,73.8,"Birch Route",520,2181,1176,174,47
"Betula","alleghaniensis","Betula alleghaniensis","yellow birch",85759,"Recent fruit or seed drop","'25556'","12843*A, Tree 6","12843*A","Tree 6",42.3020682,-71.12386246,73.8,"Birch Route",520,2181,1176,174,47
"Betula","alleghaniensis","Betula alleghaniensis","yellow birch",85759,"Fruits","'19414'","12843*A, Tree 6","12843*A","Tree 6",42.3020682,-71.12386246,73.8,"Birch Route",520,2181,1722,351,86
"Betula","alleghaniensis","Betula alleghaniensis","yellow birch",85759,"Fruits","'25556'","12843*A, Tree 6","12843*A","Tree 6",42.3020682,-71.12386246,73.8,"Birch Route",520,2181,1722,351,86
"Betula","alleghaniensis","Betula alleghaniensis","yellow birch",85759,"Fruits","'19414,25556'","12843*A, Tree 6","12843*A","Tree 6",42.3020682,-71.12386246,73.8,"Birch Route",520,2181,1722,351,86
"Betula","alleghaniensis","Betula alleghaniensis","yellow birch",85759,"Fruits","'25556'","12843*A, Tree 6","12843*A","Tree 6",42.3020682,-71.12386246,73.8,"Birch Route",520,2181,1722,351,86
"Betula","alleghaniensis","Betula alleghaniensis","yellow birch",85759,"Fruits","'19414,25556,26033,25505,26036'","12843*A, Tree 6","12843*A","Tree 6",42.3020682,-71.12386246,73.8,"Birch Route",520,2181,1722,351,86
"Betula","alleghaniensis","Betula alleghaniensis","yellow birch",85759,"Fruits","'25505'","12843*A, Tree 6","12843*A","Tree 6",42.3020682,-71.12386246,73.8,"Birch Route",520,2181,1722,351,86
"Betula","alleghaniensis","Betula alleghaniensis","yellow birch",85759,"Fruits","'26423,25505,25556,19414'","12843*A, Tree 6","12843*A","Tree 6",42.3020682,-71.12386246,73.8,"Birch Route",520,2181,1722,351,86
"Betula","alleghaniensis","Betula alleghaniensis","yellow birch",85759,"Fruits","'25556'","12843*A, Tree 6","12843*A","Tree 6",42.3020682,-71.12386246,73.8,"Birch Route",520,2181,1722,351,86
"Betula","alleghaniensis","Betula alleghaniensis","yellow birch",85759,"Fruits","'25556'","12843*A, Tree 6","12843*A","Tree 6",42.3020682,-71.12386246,73.8,"Birch Route",520,2181,1722,351,86
"Betula","alleghaniensis","Betula alleghaniensis","yellow birch",85759,"Fruits","'25556'","12843*A, Tree 6","12843*A","Tree 6",42.3020682,-71.12386246,73.8,"Birch Route",520,2181,1722,351,86
"Betula","alleghaniensis","Betula alleghaniensis","yellow birch",85759,"Fruits","'25556'","12843*A, Tree 6","12843*A","Tree 6",42.3020682,-71.12386246,73.8,"Birch Route",520,2181,1722,351,86
"Betula","alleghaniensis","Betula alleghaniensis","yellow birch",85759,"Fruits","'25556'","12843*A, Tree 6","12843*A","Tree 6",42.3020682,-71.12386246,73.8,"Birch Route",520,2181,1722,351,86
"Betula","alleghaniensis","Betula alleghaniensis","yellow birch",85761,"budburst","'25505'","12843*D, Tree 7","12843*D","Tree 7",42.30204101,-71.12388059,70.9,"Birch Route",342,2181,1600,207,28
"Betula","alleghaniensis","Betula alleghaniensis","yellow birch",85761,"budburst","'19414,25556'","12843*D, Tree 7","12843*D","Tree 7",42.30204101,-71.12388059,70.9,"Birch Route",342,2181,1600,207,28
"Betula","alleghaniensis","Betula alleghaniensis","yellow birch",85761,"budburst","'19414'","12843*D, Tree 7","12843*D","Tree 7",42.30204101,-71.12388059,70.9,"Birch Route",342,2181,1600,207,28
"Betula","alleghaniensis","Betula alleghaniensis","yellow birch",85761,"budburst","'19414'","12843*D, Tree 7","12843*D","Tree 7",42.30204101,-71.12388059,70.9,"Birch Route",342,2181,1600,207,28
"Betula","alleghaniensis","Betula alleghaniensis","yellow birch",85761,"Ripe fruits","'25505,26423'","12843*D, Tree 7","12843*D","Tree 7",42.30204101,-71.12388059,70.9,"Birch Route",342,2181,1208,249,44
"Betula","alleghaniensis","Betula alleghaniensis","yellow birch",85761,"Ripe fruits","'25505'","12843*D, Tree 7","12843*D","Tree 7",42.30204101,-71.12388059,70.9,"Birch Route",342,2181,1208,249,44
"Betula","alleghaniensis","Betula alleghaniensis","yellow birch",85761,"Ripe fruits","'25505'","12843*D, Tree 7","12843*D","Tree 7",42.30204101,-71.12388059,70.9,"Birch Route",342,2181,1208,249,44
"Betula","alleghaniensis","Betula alleghaniensis","yellow birch",85761,"Increasing leaf size","'25505'","12843*D, Tree 7","12843*D","Tree 7",42.30204101,-71.12388059,70.9,"Birch Route",342,2181,1793,189,27
"Betula","alleghaniensis","Betula alleghaniensis","yellow birch",85761,"Increasing leaf size","'26033'","12843*D, Tree 7","12843*D","Tree 7",42.30204101,-71.12388059,70.9,"Birch Route",342,2181,1793,189,27
"Betula","alleghaniensis","Betula alleghaniensis","yellow birch",85761,"leaf drop","'25505'","12843*D, Tree 7","12843*D","Tree 7",42.30204101,-71.12388059,70.9,"Birch Route",342,2181,1312,174,25
"Betula","alleghaniensis","Betula alleghaniensis","yellow birch",85761,"leaf drop","'19414,25505'","12843*D, Tree 7","12843*D","Tree 7",42.30204101,-71.12388059,70.9,"Birch Route",342,2181,1312,174,25
"Betula","alleghaniensis","Betula alleghaniensis","yellow birch",85761,"leaf drop","'25505'","12843*D, Tree 7","12843*D","Tree 7",42.30204101,-71.12388059,70.9,"Birch Route",342,2181,1312,174,25
